date_id,datetime_id,market,rpt_key,last,diff_24h,diff_per_24h,bid,ask,low,high,volume,created_at,updated_at
2017-06-01,2017-06-01 10:30:00,bitstamp,btc_usd,2324,2228.71,4.2755674807,2323.49,2324,2154.28,2334,16710.83900415,2017-06-01 01:29:37,2017-06-01 01:29:37
2017-06-01,2017-06-01 10:30:00,okcoin,btc_usd,2435.97,2207.69,10.3402198678,2432,2434.07,2129.78,2465.37,4940.342,2017-06-01 01:29:37,2017-06-01 01:29:37
2017-06-01,2017-06-01 10:30:00,korbit,etc_krw,21620,24220,-10.7349298101,21760,21990,21000,24340,644248.7013627068,2017-06-01 01:29:37,2017-06-01 01:29:37
2017-06-01,2017-06-01 10:30:00,bitflyer,eth_btc,0.0965,0.10598,-8.9450839781,0.0965,0.09652,0.0965,0.09652,15412.7919116,2017-06-01 01:29:37,2017-06-01 01:29:37
2017-06-01,2017-06-01 10:30:00,korbit,eth_krw,291550,327000,-10.8409785933,291500,291550,274000,329450,245550.973260286,2017-06-01 01:29:37,2017-06-01 01:29:37
2017-06-01,2017-06-01 10:30:00,bitflyer,fx_btc_jpy,273471,263200,3.9023556231,273470,273471,273470,273471,65601.1516239,2017-06-01 01:29:37,2017-06-01 01:29:37
2017-06-01,2017-06-01 10:30:00,okcoin,ltc_usd,27.13,24.686,9.9003483756,27.13,27.136,23.2,27.35,225018.636,2017-06-01 01:29:37,2017-06-01 01:29:37
2017-06-01,2017-06-01 10:31:00,bitstamp,btc_eur,2077.14,1994.5,4.1433943344,2064.97,2077.14,1955.9,2083.99,2142.18569838,2017-06-01 01:30:37,2017-06-01 01:30:37
2017-06-01,2017-06-01 10:31:00,bitflyer,btc_jpy,268100,263838,1.6153851985,268024,268199,268024,268199,65572.4611112,2017-06-01 01:30:37,2017-06-01 01:30:37
2017-06-01,2017-06-01 10:31:00,korbit,btc_krw,3065000,3141000,-2.4196115887,3054000,3054500,3002000,3150000,6452.33782301,2017-06-01 01:30:37,2017-06-01 01:30:37
2017-06-01,2017-06-01 10:31:00,bitstamp,btc_usd,2324.89,2224.74,4.501649631,2323.5,2324.89,2154.28,2334,16719.89763535,2017-06-01 01:30:37,2017-06-01 01:30:37
2017-06-01,2017-06-01 10:31:00,okcoin,btc_usd,2433.97,2210.67,10.101010101,2432,2432.97,2129.78,2465.37,4936.829,2017-06-01 01:30:37,2017-06-01 01:30:37
2017-06-01,2017-06-01 10:31:00,korbit,etc_krw,21760,24220,-10.156895128,21760,21850,21000,24340,644266.9779252068,2017-06-01 01:30:37,2017-06-01 01:30:37
